"cod_cliente";"primeira_assinatura";"valor_ativo_total";"valor_cancelado_total";"qtd_contratos_ativos";"qtd_contratos_cancelados";"flg_ja_sofreu_downgrade";"tarefas_90d";"qtd_tarefas_total";"media_dias_exec";"qt_tarefas_sd";"media_dias_exec_tarefa_sd";"qt_tarefas_hd";"media_dias_exec_tarefa_hd";"qt_tarefas_reclamacao";"media_dias_exec_reclamacao";"qt_tarefas_reducao";"media_dias_exec_reducao";"qt_tarefas_bug";"media_dias_exec_bug";"dias_ultima_tarefa";"qtd_categorias_distintas";"qtd_subcategorias_distintas";"qtd_grupos_envolvidos";"qtd_prioridade_normal";"qtd_prioridade_parcial";"qtd_prioridade_urgente";"qtd_prioridade_maxima";"qtd_prioridade_reforco";"perc_prioridade_maxima";"churn"
"10";"2013-05-04";"0,00";"248,45";"0";"1";"0";"0";"4";"64,5000";"1";"26,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"3";"2";"4";"4";"0";"0";"0";"0";"0,0000";"1"
"20";"2001-03-20";"3369,25";"0,00";"1";"0";"0";"14";"710";"21,7357";"97";"16,8557";"196";"8,2513";"0";"0,0000";"1";"0,0000";"40";"64,2424";"16";"39";"88";"23";"686";"4";"13";"7";"0";"0,9900";"0"
"22";"2011-03-21";"0,00";"545,60";"0";"2";"0";"0";"77";"12,2727";"6";"2,0000";"46";"5,4783";"0";"0,0000";"0";"0,0000";"0";"0,0000";"265";"16";"27";"13";"75";"0";"0";"2";"0";"2,6000";"1"
"29";"2020-10-30";"1287,06";"0,00";"1";"0";"0";"0";"19";"22,6316";"1";"12,0000";"10";"4,7000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"127";"9";"11";"7";"17";"1";"0";"1";"0";"5,2600";"0"
"32";"2012-02-13";"0,00";"8153,38";"0";"1";"0";"0";"157";"48,8854";"67";"33,0896";"20";"12,2500";"0";"0,0000";"0";"0,0000";"0";"0,0000";"460";"21";"29";"16";"155";"1";"1";"0";"0";"0,0000";"1"
"33";"2020-03-23";"0,00";"324,00";"0";"2";"0";"0";"35";"26,5143";"2";"23,0000";"12";"6,1667";"2";"127,0000";"0";"0,0000";"0";"0,0000";"0";"16";"25";"12";"30";"1";"2";"2";"0";"5,7100";"1"
"38";"2017-04-25";"1220,37";"180,00";"1";"1";"1";"11";"298";"7,3082";"28";"7,8929";"196";"4,3141";"1";"0,0000";"0";"0,0000";"4";"52,3333";"1";"23";"48";"18";"281";"3";"3";"11";"0";"3,6900";"0"
"47";"2024-08-07";"0,00";"529,80";"0";"1";"0";"0";"3";"17,3333";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"169";"3";"3";"2";"3";"0";"0";"0";"0";"0,0000";"1"
"51";"2018-02-21";"0,00";"50,84";"0";"1";"0";"0";"2";"19,5000";"0";"0,0000";"1";"12,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"247";"2";"1";"2";"2";"0";"0";"0";"0";"0,0000";"1"
"52";"2010-03-01";"1422,92";"0,00";"1";"0";"0";"3";"201";"6,2438";"9";"6,2222";"127";"1,9764";"0";"0,0000";"0";"0,0000";"0";"0,0000";"8";"22";"33";"18";"195";"1";"4";"1";"0";"0,5000";"0"
"64";"2017-05-23";"660,27";"0,00";"1";"0";"0";"0";"89";"13,4091";"12";"4,9167";"45";"7,3333";"0";"0,0000";"0";"0,0000";"0";"0,0000";"155";"15";"18";"13";"87";"1";"1";"0";"0";"0,0000";"0"
"70";"2022-05-26";"1334,52";"0,00";"1";"0";"0";"9";"102";"13,7200";"8";"0,2500";"62";"3,1311";"1";"7,0000";"0";"0,0000";"0";"0,0000";"16";"20";"34";"15";"85";"0";"7";"10";"0";"9,8000";"0"
"76";"2012-03-07";"507,78";"0,00";"1";"0";"0";"0";"15";"8,3333";"2";"7,5000";"11";"8,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"307";"6";"9";"5";"15";"0";"0";"0";"0";"0,0000";"0"
"78";"2005-07-01";"7269,48";"0,00";"1";"0";"0";"5";"220";"33,8813";"9";"40,4444";"37";"16,4324";"0";"0,0000";"3";"14,3333";"9";"38,3750";"1";"34";"82";"20";"202";"2";"11";"5";"0";"2,2700";"0"
"83";"2013-06-06";"0,00";"185,40";"0";"1";"0";"0";"35";"19,9429";"6";"7,0000";"10";"1,8000";"1";"4,0000";"0";"0,0000";"0";"0,0000";"0";"7";"19";"8";"29";"2";"1";"3";"0";"8,5700";"1"
"84";"2020-02-13";"198,27";"0,00";"2";"0";"0";"0";"16";"18,5625";"2";"4,0000";"7";"8,5714";"0";"0,0000";"0";"0,0000";"0";"0,0000";"412";"7";"8";"9";"15";"0";"0";"1";"0";"6,2500";"0"
"91";"2007-07-13";"1074,52";"0,00";"1";"0";"0";"38";"368";"14,1047";"20";"7,3500";"249";"5,7258";"0";"0,0000";"0";"0,0000";"18";"20,1429";"1";"20";"44";"20";"353";"3";"3";"9";"0";"2,4500";"0"
"107";"2025-08-07";"1252,00";"0,00";"1";"0";"0";"10";"27";"5,5769";"2";"7,5000";"16";"2,3125";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"5";"13";"6";"27";"0";"0";"0";"0";"0,0000";"0"
"113";"2007-05-02";"345,32";"0,00";"1";"0";"0";"4";"86";"6,6163";"6";"11,0000";"55";"4,7636";"0";"0,0000";"0";"0,0000";"0";"0,0000";"45";"22";"24";"12";"84";"0";"0";"2";"0";"2,3300";"0"
"121";"2023-02-27";"1717,94";"0,00";"1";"0";"0";"1";"103";"10,7476";"11";"6,7273";"46";"1,6087";"0";"0,0000";"1";"0,0000";"0";"0,0000";"72";"18";"42";"15";"91";"2";"6";"2";"2";"1,9400";"0"
"125";"2018-12-10";"24428,79";"3588,01";"1";"1";"1";"42";"371";"17,0306";"23";"20,1000";"205";"1,9317";"1";"15,0000";"1";"3,0000";"30";"14,2000";"7";"29";"91";"22";"358";"1";"7";"4";"1";"1,0800";"0"
"129";"2010-04-14";"408,00";"0,00";"1";"0";"0";"0";"60";"6,5333";"6";"3,1667";"40";"1,9000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"199";"15";"19";"11";"54";"1";"2";"3";"0";"5,0000";"0"
