cod_cliente,churn_real,churn_predito,probabilidade_churn,diagnostico
43825,1,1,0.8103804642280117,Verdadeiro Positivo (Acertou Churn)
45626,1,1,0.6079608316777779,Verdadeiro Positivo (Acertou Churn)
38152,1,1,0.8913710234471321,Verdadeiro Positivo (Acertou Churn)
38283,1,1,0.9256679752675436,Verdadeiro Positivo (Acertou Churn)
17134,1,1,0.9725082297598744,Verdadeiro Positivo (Acertou Churn)
41160,0,0,0.37960516620836715,Verdadeiro Negativo (Acertou Ativo)
22778,1,1,0.6777847447305531,Verdadeiro Positivo (Acertou Churn)
44466,1,1,0.8255215640924924,Verdadeiro Positivo (Acertou Churn)
23339,0,1,0.8188236146482242,Falso Positivo (Alarme Falso)
13552,1,1,0.7208426008150872,Verdadeiro Positivo (Acertou Churn)
36310,1,1,0.9400019802689596,Verdadeiro Positivo (Acertou Churn)
13919,0,0,0.0023356749246232424,Verdadeiro Negativo (Acertou Ativo)
46361,1,1,0.6073325219463165,Verdadeiro Positivo (Acertou Churn)
28057,1,1,0.9439750206905708,Verdadeiro Positivo (Acertou Churn)
22320,1,1,0.8974195803465784,Verdadeiro Positivo (Acertou Churn)
20753,1,1,0.8773043526416773,Verdadeiro Positivo (Acertou Churn)
44846,0,0,9.53399168298202e-06,Verdadeiro Negativo (Acertou Ativo)
41267,0,0,0.08326692301048624,Verdadeiro Negativo (Acertou Ativo)
26919,1,1,0.9362854415653203,Verdadeiro Positivo (Acertou Churn)
44005,1,1,0.6610649014230712,Verdadeiro Positivo (Acertou Churn)
42089,0,0,0.18409957677567218,Verdadeiro Negativo (Acertou Ativo)
37598,1,0,0.4816863966159843,Falso Negativo (Churn Invisível)
25936,1,1,0.9525225068305452,Verdadeiro Positivo (Acertou Churn)
37585,1,1,0.8967440315040047,Verdadeiro Positivo (Acertou Churn)
25725,0,0,0.055128738130392214,Verdadeiro Negativo (Acertou Ativo)
46308,0,1,0.5832751243968775,Falso Positivo (Alarme Falso)
42940,0,0,0.15001117833797564,Verdadeiro Negativo (Acertou Ativo)
16558,0,1,0.9491191591413655,Falso Positivo (Alarme Falso)
44409,0,0,0.0011217032663989443,Verdadeiro Negativo (Acertou Ativo)
43394,1,1,0.7332392877031624,Verdadeiro Positivo (Acertou Churn)
11165,1,1,0.9424111917834922,Verdadeiro Positivo (Acertou Churn)
9444,1,1,0.7572793080079199,Verdadeiro Positivo (Acertou Churn)
44733,0,0,0.020082677659983353,Verdadeiro Negativo (Acertou Ativo)
25201,1,1,0.8961623793818299,Verdadeiro Positivo (Acertou Churn)
42363,1,1,0.6955722429142291,Verdadeiro Positivo (Acertou Churn)
26559,1,1,0.9166322768168976,Verdadeiro Positivo (Acertou Churn)
46752,0,1,0.7009644711329199,Falso Positivo (Alarme Falso)
9729,0,0,1.018302865427298e-12,Verdadeiro Negativo (Acertou Ativo)
40826,1,1,0.8788546097629275,Verdadeiro Positivo (Acertou Churn)
36581,1,1,0.9694143266414655,Verdadeiro Positivo (Acertou Churn)
45433,0,0,0.00025837681633358005,Verdadeiro Negativo (Acertou Ativo)
42920,1,1,0.8325016454848533,Verdadeiro Positivo (Acertou Churn)
41177,1,1,0.6605106327787019,Verdadeiro Positivo (Acertou Churn)
