"cod_cliente";"primeira_assinatura";"valor_ativo_total";"valor_cancelado_total";"qtd_contratos_ativos";"qtd_contratos_cancelados";"flg_ja_sofreu_downgrade";"qtd_tarefas_total";"dias_ultima_tarefa";"tarefas_90d";"media_dias_exec";"qtd_tarefas_abertas";"qtd_categorias_distintas";"qtd_subcategorias_distintas";"qtd_grupos_envolvidos";"qt_tarefas_bug";"qt_tarefas_reducao";"qtd_prioridade_normal";"qtd_prioridade_parcial";"qtd_prioridade_urgente";"qtd_prioridade_maxima";"qtd_prioridade_reforco";"perc_prioridade_maxima";"perc_tarefas_abertas";"churn"
"10";"2013-05-04";"0,00";"248,45";"0";"1";"0";"1";"1049";"0";"208,0000";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"20";"2001-03-20";"3369,25";"0,00";"1";"0";"0";"561";"15";"14";"23,1960";"8";"39";"93";"20";"41";"1";"536";"4";"14";"7";"0";"1,2500";"1,4300";"0"
"22";"2011-03-21";"0,00";"545,60";"0";"2";"0";"64";"279";"0";"12,2500";"0";"14";"26";"12";"0";"0";"62";"0";"0";"2";"0";"3,1300";"0,0000";"1"
"29";"2020-10-30";"1056,93";"0,00";"1";"0";"0";"14";"126";"0";"30,1429";"0";"8";"11";"6";"0";"0";"12";"1";"0";"1";"0";"7,1400";"0,0000";"0"
"32";"2012-02-13";"0,00";"8153,38";"0";"1";"0";"62";"2100";"0";"67,2581";"0";"17";"30";"13";"0";"0";"60";"1";"1";"0";"0";"0,0000";"0,0000";"1"
"33";"2020-03-23";"0,00";"324,00";"0";"2";"0";"32";"721";"0";"26,9063";"0";"16";"24";"11";"0";"0";"28";"1";"2";"1";"0";"3,1300";"0,0000";"1"
"38";"2017-04-25";"1040,37";"180,00";"1";"1";"1";"248";"0";"10";"7,1893";"3";"24";"50";"15";"3";"0";"231";"2";"3";"11";"1";"4,4400";"1,2100";"0"
"47";"2024-08-07";"0,00";"529,80";"0";"1";"0";"4";"589";"0";"13,0000";"0";"4";"4";"2";"0";"0";"4";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"51";"2018-02-21";"0,00";"50,84";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"52";"2010-03-01";"1365,94";"0,00";"1";"0";"0";"158";"7";"3";"5,2215";"0";"20";"34";"12";"0";"0";"152";"1";"4";"1";"0";"0,6300";"0,0000";"0"
"64";"2017-05-23";"660,27";"0,00";"1";"0";"0";"51";"154";"0";"15,1800";"0";"11";"18";"9";"0";"0";"47";"1";"3";"0";"0";"0,0000";"0,0000";"0"
"70";"2022-05-26";"1786,86";"0,00";"1";"0";"0";"97";"15";"9";"13,8511";"1";"15";"34";"13";"0";"0";"80";"0";"7";"10";"0";"10,3100";"1,0300";"0"
"76";"2012-03-07";"507,78";"0,00";"1";"0";"0";"11";"306";"0";"11,5455";"0";"3";"9";"4";"0";"0";"11";"0";"0";"0";"0";"0,0000";"0,0000";"0"
"78";"2005-07-01";"7269,48";"0,00";"1";"0";"0";"207";"0";"5";"37,0049";"1";"34";"85";"21";"10";"3";"190";"1";"11";"5";"0";"2,4200";"0,4800";"0"
"83";"2013-06-06";"0,00";"185,40";"0";"1";"0";"35";"365";"0";"20,3429";"0";"7";"20";"8";"0";"0";"29";"2";"1";"3";"0";"8,5700";"0,0000";"1"
"84";"2020-02-13";"198,27";"0,00";"2";"0";"0";"9";"411";"0";"21,0000";"0";"4";"7";"4";"0";"0";"8";"0";"0";"1";"0";"11,1100";"0,0000";"0"
"91";"2007-07-13";"1074,52";"0,00";"1";"0";"0";"322";"0";"40";"15,0189";"5";"21";"45";"18";"18";"0";"306";"3";"4";"9";"0";"2,8000";"1,5500";"0"
"107";"2025-08-07";"1252,00";"0,00";"1";"0";"0";"27";"1";"10";"5,0385";"1";"6";"13";"6";"0";"0";"27";"0";"0";"0";"0";"0,0000";"3,7000";"0"
"113";"2007-05-02";"345,32";"0,00";"1";"0";"0";"47";"44";"4";"5,3404";"0";"16";"23";"8";"0";"0";"45";"0";"0";"2";"0";"4,2600";"0,0000";"0"
"121";"2023-02-27";"1799,92";"0,00";"1";"0";"0";"105";"71";"1";"10,7619";"0";"20";"43";"15";"0";"1";"93";"2";"6";"2";"2";"1,9000";"0,0000";"0"
"125";"2018-12-10";"26269,30";"3588,01";"1";"1";"1";"372";"6";"43";"17,6676";"7";"31";"92";"22";"31";"1";"358";"1";"8";"4";"1";"1,0800";"1,8800";"0"
"129";"2010-04-14";"408,00";"0,00";"1";"0";"0";"52";"198";"0";"5,7500";"0";"11";"19";"8";"1";"0";"46";"1";"2";"3";"0";"5,7700";"0,0000";"0"
"132";"2012-09-05";"0,00";"425,53";"0";"1";"0";"9";"2184";"0";"126,7778";"0";"7";"8";"4";"0";"0";"9";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"136";"2011-08-11";"0,00";"234,00";"0";"1";"0";"13";"1559";"0";"16,6923";"0";"6";"9";"5";"0";"0";"8";"0";"0";"4";"1";"30,7700";"0,0000";"1"
"137";"2019-09-05";"242,61";"0,00";"1";"0";"0";"56";"359";"0";"22,7321";"0";"10";"21";"11";"0";"0";"51";"1";"2";"2";"0";"3,5700";"0,0000";"0"
"140";"2002-03-26";"18704,07";"0,00";"1";"0";"0";"131";"16";"4";"30,4141";"3";"21";"50";"16";"2";"0";"129";"0";"0";"2";"0";"1,5300";"2,2900";"0"
"147";"2015-06-08";"1697,73";"0,00";"1";"0";"0";"145";"112";"0";"9,4828";"0";"13";"31";"16";"0";"0";"140";"0";"3";"2";"0";"1,3800";"0,0000";"0"
"165";"2005-03-31";"4620,60";"0,00";"1";"0";"0";"299";"27";"9";"15,9696";"2";"31";"73";"20";"1";"3";"269";"10";"12";"7";"1";"2,3400";"0,6700";"0"
"175";"1998-11-01";"34283,23";"0,00";"2";"0";"0";"1441";"2";"99";"10,6590";"8";"46";"145";"23";"49";"5";"1337";"12";"38";"33";"21";"2,2900";"0,5600";"0"
